ac_number,constituency,party_2021,party_2026,seat_status,region
1,Gummidipundi,DMK,TVK,Flipped,Chennai Metro
2,Ponneri,INC,TVK,Flipped,Chennai Metro
3,Tiruttani,DMK,AIADMK,Flipped,Chennai Metro
4,Thiruvallur,DMK,TVK,Flipped,Chennai Metro
5,Poonamallee,DMK,TVK,Flipped,Chennai Metro
6,Avadi,DMK,TVK,Flipped,Chennai Metro
7,Maduravoyal,DMK,TVK,Flipped,Chennai Metro
8,Ambattur,DMK,TVK,Flipped,Chennai Metro
9,Madavaram,DMK,TVK,Flipped,Chennai Metro
10,Thiruvottiyur,DMK,TVK,Flipped,Chennai Metro
11,Dr. Radhakrishnan Nagar,DMK,TVK,Flipped,Chennai Metro
12,Perambur,DMK,TVK,Flipped,Chennai Metro
13,Kolathur,DMK,TVK,Flipped,Chennai Metro
14,Villivakkam,DMK,TVK,Flipped,Chennai Metro
15,Thiru-Vi-Ka-Nagar,DMK,TVK,Flipped,Chennai Metro
16,Egmore,DMK,TVK,Flipped,Chennai Metro
17,Royapuram,DMK,TVK,Flipped,Chennai Metro
18,Harbour,DMK,DMK,Retained,Chennai Metro
19,Chepauk-Thiruvallikeni,DMK,DMK,Retained,Chennai Metro
20,Thousand Lights,DMK,TVK,Flipped,Chennai Metro
21,Anna Nagar,DMK,TVK,Flipped,Chennai Metro
22,Virugampakkam,DMK,TVK,Flipped,Chennai Metro
23,Saidapet,DMK,TVK,Flipped,Chennai Metro
24,Theayagaraya Nagar,DMK,TVK,Flipped,Chennai Metro
25,Mylapore,DMK,TVK,Flipped,Chennai Metro
26,Velachery,INC,TVK,Flipped,Chennai Metro
27,Shozhinganallur,DMK,TVK,Flipped,Chennai Metro
28,Alandur,DMK,TVK,Flipped,Chennai Metro
29,Sriperumbudur,INC,TVK,Flipped,Chennai Metro
30,Pallavaram,DMK,TVK,Flipped,Chennai Metro
31,Tambaram,DMK,TVK,Flipped,Chennai Metro
32,Chengalpattu,DMK,TVK,Flipped,Chennai Metro
33,Thiruporur,VCK,TVK,Flipped,North
34,Cheyyur,VCK,AIADMK,Flipped,North
35,Maduranthakam,AIADMK,AIADMK,Retained,North
36,Uthiramerur,DMK,TVK,Flipped,North
37,Kancheepuram,DMK,TVK,Flipped,North
38,Arakonam,AIADMK,TVK,Flipped,North
39,Sholinghur,INC,TVK,Flipped,North
40,Katpadi,DMK,TVK,Flipped,North
41,Ranipet,DMK,TVK,Flipped,North
42,Arcot,DMK,AIADMK,Flipped,North
43,Vellore,DMK,TVK,Flipped,North
44,Anaikattu,DMK,AIADMK,Flipped,North
45,Kilvaithinankuppam,AIADMK,TVK,Flipped,North
