ac_number,constituency,region,reserved,winner_party,winner_votes,runner_up_party,runner_up_votes,victory_margin
1,Gummidipoondi,Chennai Metro,GEN,TVK,94320,AIADMK,66375,27945
2,Ponneri,Chennai Metro,SC,TVK,110439,INC,54671,55768
3,Tiruttani,Chennai Metro,GEN,AIADMK,89169,TVK,83376,5793
4,Thiruvallur,Chennai Metro,GEN,TVK,92190,DMK,67430,24760
5,Poonamallee,Chennai Metro,SC,TVK,161309,DMK,88569,72740
6,Avadi,Chennai Metro,GEN,TVK,180384,DMK,104073,76311
7,Maduravoyal,Chennai Metro,GEN,TVK,141725,DMK,80216,61509
8,Ambattur,Chennai Metro,GEN,TVK,133339,DMK,74558,58781
9,Madavaram,Chennai Metro,GEN,TVK,190462,DMK,95477,94985
10,Thiruvottiyur,Chennai Metro,GEN,TVK,110067,CPI(M),56503,53564
11,Dr.Radhakrishnan Nagar,Chennai Metro,GEN,TVK,97800,DMK,48132,49668
12,Perambur,Chennai Metro,GEN,TVK,120365,DMK,66650,53715
13,Kolathur,Chennai Metro,GEN,TVK,82997,DMK,74202,8795
14,Villivakkam,Chennai Metro,GEN,TVK,66445,DMK,49143,17302
15,Thiru-Vi-Ka-Nagar,Chennai Metro,SC,TVK,69125,DMK,46792,22333
16,Egmore,Chennai Metro,SC,TVK,53901,DMK,43097,10804
17,Royapuram,Chennai Metro,GEN,TVK,59091,DMK,44842,14249
18,Harbour,Chennai Metro,GEN,DMK,45254,TVK,33504,11750
19,Chepauk-Thiruvallikeni,Chennai Metro,GEN,DMK,62992,TVK,55852,7140
20,Thousand Lights,Chennai Metro,GEN,TVK,58965,DMK,43824,15141
21,Anna Nagar,Chennai Metro,GEN,TVK,71375,DMK,50012,21363
22,Virugampakkam,Chennai Metro,GEN,TVK,76092,DMK,49006,27086
23,Saidapet,Chennai Metro,GEN,TVK,81205,DMK,52691,28514
24,Thiyagarayanagar,Chennai Metro,GEN,TVK,51632,AIADMK,38605,13027
25,Mylapore,Chennai Metro,GEN,TVK,70070,DMK,41098,28972
26,Velachery,Chennai Metro,GEN,TVK,80430,AIADMK,47125,33305
27,Shozhinganallur,Chennai Metro,GEN,TVK,220382,DMK,123602,96780
28,Alandur,Chennai Metro,GEN,TVK,112205,DMK,82596,29609
29,Sriperumbudur,Chennai Metro,SC,TVK,147611,INC,93365,54246
30,Pallavaram,Chennai Metro,GEN,TVK,133611,DMDK,78918,54693
31,Tambaram,Chennai Metro,GEN,TVK,118967,DMK,83346,35621
32,Chengalpattu,Chennai Metro,GEN,TVK,137136,DMK,101495,35641
33,Thiruporur,North,GEN,TVK,110095,VCK,70744,39351
34,Cheyyur,North,SC,AIADMK,63809,TVK,58141,5668
